project,github_repo,github_url,local_commit_count,path
percolate,percolateussy,https://github.com/mojomast/percolateussy,1,/home/mojo/builds/percolate
petrichor,petrichorussy,https://github.com/mojomast/petrichorussy,1,/home/mojo/builds/petrichor
phenoa,phenoaussy,https://github.com/mojomast/phenoaussy,1,/home/mojo/builds/phenoa
pheroma,pheromaussy,https://github.com/mojomast/pheromaussy,1,/home/mojo/builds/pheroma
phonara,phonaraussy,https://github.com/mojomast/phonaraussy,1,/home/mojo/builds/phonara
photona,photonaussy,https://github.com/mojomast/photonaussy,1,/home/mojo/builds/photona
photosynth,photosynthussy,https://github.com/mojomast/photosynthussy,1,/home/mojo/builds/photosynth
phyllotaxis,phyllotaxisussy,https://github.com/mojomast/phyllotaxisussy,1,/home/mojo/builds/phyllotaxis
plan9webplumb,plan9webplumbussy,https://github.com/mojomast/plan9webplumbussy,1,/home/mojo/builds/plan9webplumb
planta,plantaussy,https://github.com/mojomast/plantaussy,1,/home/mojo/builds/planta
plumia,plumiaussy,https://github.com/mojomast/plumiaussy,1,/home/mojo/builds/plumia
pokayoke,pokayokeussy,https://github.com/mojomast/pokayokeussy,1,/home/mojo/builds/pokayoke
portmore,portmoreussy,https://github.com/mojomast/portmoreussy,1,/home/mojo/builds/portmore
portolan,portolanussy,https://github.com/mojomast/portolanussy,1,/home/mojo/builds/portolan
predator,predatorussy,https://github.com/mojomast/predatorussy,1,/home/mojo/builds/predator
pressora,pressoraussy,https://github.com/mojomast/pressoraussy,1,/home/mojo/builds/pressora
probaya,probayaussy,https://github.com/mojomast/probayaussy,1,/home/mojo/builds/probaya
proprioception,proprioceptionussy,https://github.com/mojomast/proprioceptionussy,1,/home/mojo/builds/proprioception
prospecta,prospectaussy,https://github.com/mojomast/prospectaussy,1,/home/mojo/builds/prospecta
proxema,proxemaussy,https://github.com/mojomast/proxemaussy,1,/home/mojo/builds/proxema
psychra,psychraussy,https://github.com/mojomast/psychraussy,1,/home/mojo/builds/psychra
pulmo,pulmoussy,https://github.com/mojomast/pulmoussy,1,/home/mojo/builds/pulmo
pupa,pupaussy,https://github.com/mojomast/pupaussy,1,/home/mojo/builds/pupa
quantum,quantumussy,https://github.com/mojomast/quantumussy,1,/home/mojo/builds/quantum
queue,queueussy,https://github.com/mojomast/queueussy,1,/home/mojo/builds/queue
quorum,quorumussy,https://github.com/mojomast/quorumussy,1,/home/mojo/builds/quorum
rabida,rabidaussy,https://github.com/mojomast/rabidaussy,1,/home/mojo/builds/rabida
racia,raciaussy,https://github.com/mojomast/raciaussy,1,/home/mojo/builds/racia
